**ID**,**Consumer-ID**,**Transaction Timestamp**,**Payment Amount**,**Consumption**
ORDER_ACCF902D39,USER_55F1F9238FA0,2023-06-29 21:26:42,248.0,35.03
ORDER_DCE920BF60,USER_2D814E6E7051,2023-06-29 21:26:20,171.0,24.15
ORDER_A546A192EB,USER_D594FA7BA16E,2023-06-29 20:04:10,350.0,49.44
ORDER_7419D151E0,USER_726CBCF7FF6E,2023-06-29 19:43:34,274.0,38.7
ORDER_E643F0E680,USER_447E142E0EE6,2023-06-29 19:30:50,121.29,17.13
ORDER_31A24262DE,USER_C6D8AA2DAB2D,2023-06-29 19:24:19,71.0,10.03
ORDER_8EF1C902FA,USER_46274A3AC6BB,2023-06-29 19:00:58,59.53,8.41
ORDER_DA370592E6,USER_235181767F7B,2023-06-29 18:57:29,98.0,13.84
ORDER_52228521AB,USER_76056D1BC79B,2023-06-29 18:44:58,252.0,35.59
ORDER_94D52292B2,USER_A701513DB0CC,2023-06-29 18:40:15,240.0,33.9
ORDER_11F72FA70D,USER_25C45AB3E2A6,2023-06-29 18:13:47,300.0,42.37
ORDER_046AF90755,USER_C4C21D8E2C09,2023-06-29 18:06:01,200.0,28.25
ORDER_FFE97983CA,USER_1296AC187B07,2023-06-29 17:45:27,224.86,31.76
ORDER_B09A69DADE,USER_04FCFFEFF566,2023-06-29 17:40:48,290.0,40.96
ORDER_D60E8C9D6D,USER_3E8DCA65A364,2023-06-29 17:26:24,200.0,28.25
ORDER_A4B42F3524,USER_CA237E90411E,2023-06-29 17:08:21,247.0,34.89
ORDER_33F966529C,USER_51A15A5F18D6,2023-06-29 17:03:51,200.0,28.25
ORDER_6E9E0E9DAF,USER_1912645ABF28,2023-06-29 16:56:33,227.0,32.06
ORDER_ADF57AC779,USER_775FACEB7385,2023-06-29 16:53:53,23.84,3.37
ORDER_E5FE0DAEED,USER_21F8F7A17EC4,2023-06-29 16:25:27,159.0,22.46
ORDER_11BD8C68F4,USER_D7CEA26849F6,2023-06-29 16:07:20,200.0,28.25
ORDER_55787CC20D,USER_C83868F9CB28,2023-06-29 16:04:42,200.0,28.25
ORDER_C8BC412FF4,USER_27539AD7EEEC,2023-06-29 15:56:35,361.0,50.99
ORDER_8FEE1E055B,USER_AA516D5846C4,2023-06-29 14:38:28,158.61,22.4
ORDER_12FD8611F5,USER_3F87C065460D,2023-06-29 14:23:42,156.0,22.03
ORDER_FD087B104A,USER_F90EC9F0A87B,2023-06-29 13:30:57,243.0,34.32
ORDER_D94DC2E94B,USER_E1322EF0992D,2023-06-29 12:15:48,290.0,40.96
ORDER_582C3E4631,USER_DA5FBC5531E1,2023-06-29 11:12:38,303.0,42.8
ORDER_FB5FB0564E,USER_308B46219118,2023-06-29 11:12:31,269.18,38.02
ORDER_1C909854F9,USER_23F32CB559A8,2023-06-29 10:59:46,295.0,41.67
ORDER_E2B0A909EF,USER_3520D22BE8D4,2023-06-29 10:07:09,233.0,32.91
ORDER_33F089DCE6,USER_DD182A356D6C,2023-06-29 09:47:16,200.0,28.25
ORDER_BF844F0356,USER_99386769ACBA,2023-06-29 09:47:02,294.0,41.53
ORDER_0D6FDE9473,USER_AA72D781BC51,2023-06-29 09:36:53,171.0,24.15
ORDER_F0661F0819,USER_7D40C8EC43CD,2023-06-29 09:34:10,89.78,12.68
ORDER_992D3E4353,USER_BBF95187CADB,2023-06-29 08:42:33,100.0,14.12
ORDER_E4DFFE3B9D,USER_0F2EE71CFDF4,2023-06-29 08:35:53,154.0,21.75
ORDER_1F80C0EF69,USER_CF1ED1EA9EC4,2023-06-29 08:32:30,90.0,12.71
ORDER_C146DA7CAD,USER_21E3BA82CC3F,2023-06-29 08:09:26,251.0,35.45
ORDER_01F93FEAFA,USER_3ABA322484C1,2023-06-29 07:57:58,159.0,22.46
ORDER_CED9F21A32,USER_D0399C83D92B,2023-06-29 07:46:16,295.0,41.67
ORDER_7DAD05A28E,USER_7C7516D73FA9,2023-06-29 07:32:42,200.0,28.25
ORDER_8BA4F33C78,USER_5053BCF40CAE,2023-06-29 07:21:23,200.0,28.25
ORDER_814BA2BA7D,USER_1C1B30967E29,2023-06-29 07:06:05,247.0,34.89
ORDER_B6A7E1FFEB,USER_50982594CAF4,2023-06-29 07:00:53,200.0,28.25
ORDER_0851A54BA9,USER_F38E7838DA96,2023-06-29 06:53:49,200.0,28.25
ORDER_924701AE97,USER_BBCEAE3F5A5C,2023-06-29 06:50:47,100.0,14.12
ORDER_F2A51544C9,USER_4AC57B9CE374,2023-06-29 06:46:56,282.0,39.83
ORDER_B3FCF119A2,USER_E832909F7675,2023-06-29 06:41:49,195.0,27.54
ORDER_BFF9C64DF7,USER_7DBA7C6FC127,2023-06-29 06:40:56,100.0,14.12
ORDER_D449D90C6A,USER_49E1B6F13C04,2023-06-29 06:19:29,370.0,52.26
ORDER_5E4086B207,USER_8EBA398778E5,2023-06-29 06:13:33,150.0,21.19
ORDER_6119AB1DBC,USER_7C9875C25296,2023-06-29 05:39:00,220.0,31.07
ORDER_6323672188,USER_FBCCD3BE24C7,2023-06-29 05:20:14,100.0,14.12
ORDER_1215C997ED,USER_05DFCB868194,2023-06-29 05:07:10,200.0,28.25
ORDER_90FE2831CC,USER_A1A3BDB66443,2023-06-29 04:55:11,200.0,28.25
ORDER_6F401AB406,USER_BC4268AE1FB2,2023-06-28 22:14:19,505.0,71.33
ORDER_F203F1DA32,USER_13099E3CA978,2023-06-28 22:01:26,200.0,28.25
ORDER_51C7E0F133,USER_6B9D51718192,2023-06-28 21:33:36,220.0,31.07
ORDER_2DAE46FDFF,USER_03A4BFB16D1A,2023-06-28 21:20:59,200.0,28.25
ORDER_7727771F9E,USER_349891C34A94,2023-06-28 21:15:39,200.0,28.25
ORDER_6FCB6AB2BB,USER_A7B776459D41,2023-06-28 21:06:47,200.0,28.25
ORDER_A0EDDE7FB8,USER_3FE74388BA1B,2023-06-28 20:49:34,368.0,51.98
ORDER_202DDEC5C9,USER_3D6B71206EC7,2023-06-28 20:43:29,200.0,28.25
ORDER_B59890CDC6,USER_E007DC2D8E5D,2023-06-28 20:42:36,81.64,11.53
ORDER_F961237955,USER_8B71EED045E9,2023-06-28 20:35:23,60.0,8.47
ORDER_0655CD68FC,USER_A3F545735233,2023-06-28 20:32:47,300.0,42.37
ORDER_2ECB286AF3,USER_2232727DAC7F,2023-06-28 20:24:03,209.0,29.52
ORDER_1D03B4BAC0,USER_22EF2795FBE1,2023-06-28 20:21:13,304.0,42.94
ORDER_FE0EB10C9B,USER_E9DB75AD5397,2023-06-28 20:04:39,212.0,29.94
ORDER_1AF19D1E22,USER_B937C1BAF64D,2023-06-28 20:01:28,200.0,28.25
